killmail id,killmail time,ship type id,ship name
71379668,2018-07-21T16:03:33Z,17715,Gila
71379149,2018-07-21T15:42:50Z,12005,Ishtar
71377414,2018-07-21T14:20:10Z,17715,Gila
71375887,2018-07-21T13:19:14Z,17715,Gila
71375003,2018-07-21T12:20:32Z,17715,Gila
71373821,2018-07-21T10:25:26Z,17715,Gila
71372820,2018-07-21T08:56:16Z,621,Caracal
71372719,2018-07-21T08:48:44Z,12015,Muninn
71371766,2018-07-21T07:21:30Z,12015,Muninn
71371568,2018-07-21T06:59:39Z,12019,Sacrilege
71369609,2018-07-21T04:02:54Z,626,Vexor
71369529,2018-07-21T03:56:13Z,17715,Gila
71369331,2018-07-21T03:40:23Z,17715,Gila
71368381,2018-07-21T02:18:23Z,626,Vexor
71366675,2018-07-20T23:55:05Z,12023,Deimos
71366666,2018-07-20T23:54:23Z,17715,Gila
71366095,2018-07-20T23:14:19Z,626,Vexor
71364441,2018-07-20T21:35:14Z,626,Vexor
71364281,2018-07-20T21:27:30Z,621,Caracal
71363736,2018-07-20T21:00:14Z,17715,Gila
71363335,2018-07-20T20:39:48Z,29336,Scythe Fleet Issue
71363281,2018-07-20T20:37:05Z,17715,Gila
71362611,2018-07-20T20:05:00Z,17843,Vexor Navy Issue
71362404,2018-07-20T19:54:42Z,17715,Gila
71362181,2018-07-20T19:42:50Z,17843,Vexor Navy Issue
71359061,2018-07-20T16:58:32Z,33470,Stratios
71358595,2018-07-20T16:26:21Z,626,Vexor
71358587,2018-07-20T16:25:41Z,12005,Ishtar
71357820,2018-07-20T15:38:40Z,12005,Ishtar
71357782,2018-07-20T15:35:49Z,17715,Gila
71357777,2018-07-20T15:35:29Z,629,Rupture
71357074,2018-07-20T14:34:15Z,12005,Ishtar
71355972,2018-07-20T13:17:15Z,628,Arbitrator
71353995,2018-07-20T09:41:00Z,12019,Sacrilege
71353931,2018-07-20T09:33:35Z,17715,Gila
71353722,2018-07-20T09:11:53Z,621,Caracal
71352868,2018-07-20T07:48:09Z,12019,Sacrilege
71351980,2018-07-20T05:57:37Z,11999,Vagabond
71351905,2018-07-20T05:45:34Z,17634,Caracal Navy Issue
71350686,2018-07-20T03:32:19Z,17715,Gila
71350121,2018-07-20T02:38:24Z,17715,Gila
71349162,2018-07-20T01:26:06Z,17715,Gila
71348811,2018-07-20T00:52:39Z,17715,Gila
71348750,2018-07-20T00:46:05Z,626,Vexor
71348156,2018-07-19T23:56:49Z,17715,Gila
71348064,2018-07-19T23:49:23Z,17715,Gila
71348057,2018-07-19T23:48:49Z,12023,Deimos
71347464,2018-07-19T22:47:45Z,17715,Gila
71347296,2018-07-19T22:33:12Z,12019,Sacrilege
71346209,2018-07-19T21:22:06Z,12005,Ishtar
71345427,2018-07-19T20:42:34Z,17715,Gila
71345140,2018-07-19T20:22:18Z,17715,Gila
71344973,2018-07-19T20:11:44Z,621,Caracal
71344250,2018-07-19T19:34:00Z,17715,Gila
71343916,2018-07-19T19:17:39Z,621,Caracal
71342896,2018-07-19T18:25:38Z,17715,Gila
71342492,2018-07-19T17:57:26Z,17715,Gila
71341151,2018-07-19T16:40:34Z,17715,Gila
71337417,2018-07-19T12:08:37Z,17715,Gila
71333435,2018-07-19T07:46:18Z,621,Caracal
71333305,2018-07-19T07:38:53Z,12019,Sacrilege
71331485,2018-07-19T05:12:33Z,621,Caracal
71331208,2018-07-19T04:40:45Z,626,Vexor
71328719,2018-07-19T00:56:49Z,17715,Gila
71327653,2018-07-18T23:11:14Z,12005,Ishtar
71327086,2018-07-18T22:23:28Z,17715,Gila
71326887,2018-07-18T22:08:00Z,11999,Vagabond
71325239,2018-07-18T20:29:28Z,12019,Sacrilege
71323989,2018-07-18T19:33:14Z,17715,Gila
71323575,2018-07-18T19:10:40Z,17715,Gila
71321118,2018-07-18T16:37:31Z,17843,Vexor Navy Issue
71320927,2018-07-18T16:23:45Z,17715,Gila
71319218,2018-07-18T14:04:42Z,12005,Ishtar
71319087,2018-07-18T13:54:24Z,17715,Gila
71318461,2018-07-18T13:01:13Z,17715,Gila
71318206,2018-07-18T12:37:13Z,12019,Sacrilege
71318169,2018-07-18T12:34:36Z,17634,Caracal Navy Issue
71317075,2018-07-18T09:34:39Z,17715,Gila
71316976,2018-07-18T09:23:24Z,12005,Ishtar
71316563,2018-07-18T08:34:43Z,17715,Gila
71315613,2018-07-18T07:28:51Z,12005,Ishtar
71315574,2018-07-18T07:24:02Z,12003,Zealot
71315532,2018-07-18T07:19:29Z,626,Vexor
71314967,2018-07-18T05:57:37Z,12005,Ishtar
71314659,2018-07-18T05:16:41Z,17715,Gila
71314356,2018-07-18T04:33:32Z,626,Vexor
71313776,2018-07-18T03:32:25Z,17715,Gila
71311854,2018-07-18T00:27:28Z,12005,Ishtar
71311501,2018-07-17T23:45:55Z,17715,Gila
71311299,2018-07-17T23:27:44Z,17715,Gila
71310881,2018-07-17T23:18:48Z,17715,Gila
71308361,2018-07-17T20:44:00Z,12019,Sacrilege
71308292,2018-07-17T20:39:42Z,17843,Vexor Navy Issue
71307815,2018-07-17T20:19:31Z,17715,Gila
71305932,2018-07-17T18:39:48Z,17715,Gila
71305929,2018-07-17T18:39:43Z,629,Rupture
71303845,2018-07-17T16:56:43Z,17843,Vexor Navy Issue
71303333,2018-07-17T16:22:25Z,621,Caracal
71303075,2018-07-17T14:18:33Z,17715,Gila
71303043,2018-07-17T14:14:52Z,17715,Gila
71303032,2018-07-17T14:14:12Z,17715,Gila
71303025,2018-07-17T14:13:50Z,17715,Gila
71303022,2018-07-17T14:13:45Z,17715,Gila
71303004,2018-07-17T14:12:22Z,17715,Gila
71302937,2018-07-17T14:00:40Z,12005,Ishtar
71301059,2018-07-17T10:38:22Z,17715,Gila
71300633,2018-07-17T09:44:33Z,17843,Vexor Navy Issue
71300588,2018-07-17T09:41:08Z,17715,Gila
71300287,2018-07-17T09:05:46Z,17715,Gila
71299733,2018-07-17T07:54:58Z,17715,Gila
71298244,2018-07-17T04:49:55Z,626,Vexor
71298203,2018-07-17T04:46:22Z,12005,Ishtar
71297601,2018-07-17T03:44:29Z,628,Arbitrator
71297397,2018-07-17T03:24:15Z,628,Arbitrator
71297339,2018-07-17T03:18:57Z,12019,Sacrilege
71297211,2018-07-17T03:05:08Z,626,Vexor
71295745,2018-07-17T01:13:11Z,17715,Gila
71294797,2018-07-16T23:45:33Z,626,Vexor
71292129,2018-07-16T20:48:16Z,12023,Deimos
71291787,2018-07-16T20:37:32Z,628,Arbitrator
71291467,2018-07-16T20:27:18Z,621,Caracal
71288915,2018-07-16T18:36:41Z,17715,Gila
71286533,2018-07-16T16:56:27Z,12019,Sacrilege
71286112,2018-07-16T16:24:30Z,33470,Stratios
71285913,2018-07-16T16:09:38Z,17715,Gila
71285346,2018-07-16T15:33:13Z,12005,Ishtar
71284542,2018-07-16T15:04:57Z,17715,Gila
71284234,2018-07-16T14:40:56Z,17715,Gila
71282563,2018-07-16T13:05:29Z,626,Vexor
71282463,2018-07-16T12:57:00Z,12005,Ishtar
71282245,2018-07-16T12:37:06Z,17715,Gila
71280966,2018-07-16T09:56:46Z,17843,Vexor Navy Issue
71280161,2018-07-16T08:24:27Z,626,Vexor
71279756,2018-07-16T07:26:11Z,11999,Vagabond
71279689,2018-07-16T07:17:06Z,17843,Vexor Navy Issue
71279235,2018-07-16T06:09:25Z,626,Vexor
71278039,2018-07-16T03:43:31Z,17715,Gila
71277749,2018-07-16T03:16:34Z,12023,Deimos
71276628,2018-07-16T01:25:42Z,626,Vexor
71276149,2018-07-16T00:44:04Z,628,Arbitrator
71272437,2018-07-15T20:46:18Z,621,Caracal
71271952,2018-07-15T20:26:05Z,12015,Muninn
71269887,2018-07-15T19:02:25Z,621,Caracal
71268782,2018-07-15T18:14:46Z,17715,Gila
71268751,2018-07-15T18:14:08Z,17715,Gila
71268628,2018-07-15T18:08:58Z,626,Vexor
71268408,2018-07-15T17:57:19Z,17715,Gila
71268374,2018-07-15T17:55:29Z,12005,Ishtar
71268370,2018-07-15T17:55:24Z,12019,Sacrilege
71267670,2018-07-15T17:15:59Z,621,Caracal
71267458,2018-07-15T17:03:41Z,12011,Eagle
71265365,2018-07-15T15:09:47Z,17715,Gila
71264827,2018-07-15T14:44:22Z,621,Caracal
71264189,2018-07-15T14:12:00Z,17715,Gila
71263565,2018-07-15T13:44:41Z,17715,Gila
71260323,2018-07-15T09:41:27Z,17715,Gila
71259545,2018-07-15T08:41:05Z,17715,Gila
71259284,2018-07-15T08:21:17Z,628,Arbitrator
71258570,2018-07-15T07:28:34Z,621,Caracal
71255982,2018-07-15T03:55:26Z,2006,Omen
71255325,2018-07-15T03:09:53Z,11995,Onyx
71252213,2018-07-14T23:44:18Z,17715,Gila
71249223,2018-07-14T21:35:53Z,12019,Sacrilege
71249041,2018-07-14T21:23:57Z,17715,Gila
71247546,2018-07-14T20:14:21Z,33470,Stratios
71247406,2018-07-14T20:07:31Z,621,Caracal
71245787,2018-07-14T19:01:06Z,17715,Gila
71245602,2018-07-14T18:51:45Z,17715,Gila
71244913,2018-07-14T18:20:37Z,621,Caracal
71243985,2018-07-14T17:24:57Z,627,Thorax
71242698,2018-07-14T16:15:19Z,17715,Gila
71241833,2018-07-14T15:34:47Z,12005,Ishtar
71241753,2018-07-14T15:31:45Z,17715,Gila
71240255,2018-07-14T14:19:56Z,17715,Gila
71239694,2018-07-14T13:49:57Z,628,Arbitrator
71239394,2018-07-14T13:33:47Z,17715,Gila
71235905,2018-07-14T09:28:37Z,17843,Vexor Navy Issue
71235732,2018-07-14T09:12:46Z,17843,Vexor Navy Issue
71235658,2018-07-14T09:06:55Z,17715,Gila
71235277,2018-07-14T08:32:14Z,17715,Gila
71235068,2018-07-14T08:14:23Z,12005,Ishtar
71234763,2018-07-14T07:48:06Z,17715,Gila
71233512,2018-07-14T05:42:18Z,627,Thorax
71232953,2018-07-14T04:45:17Z,12023,Deimos
71231260,2018-07-14T02:20:16Z,17922,Ashimmu
71231048,2018-07-14T02:00:01Z,11993,Cerberus
71230945,2018-07-14T01:50:44Z,17715,Gila
71230544,2018-07-14T01:16:04Z,17715,Gila
71229051,2018-07-13T23:17:04Z,33470,Stratios
71228950,2018-07-13T23:09:07Z,17715,Gila
71228906,2018-07-13T23:06:12Z,17715,Gila
71228551,2018-07-13T22:44:03Z,17715,Gila
71227855,2018-07-13T21:58:51Z,626,Vexor
71227801,2018-07-13T21:56:18Z,17715,Gila
71227579,2018-07-13T21:42:59Z,17715,Gila
71226848,2018-07-13T21:05:06Z,623,Moa
71226467,2018-07-13T20:45:45Z,623,Moa
71226008,2018-07-13T20:25:53Z,17715,Gila
71225126,2018-07-13T19:48:10Z,17715,Gila
71224713,2018-07-13T19:29:50Z,17715,Gila
71220115,2018-07-13T15:27:29Z,12005,Ishtar
71219068,2018-07-13T14:10:25Z,47270,Vedmak
71218701,2018-07-13T13:43:54Z,12019,Sacrilege
71218207,2018-07-13T13:00:03Z,626,Vexor
71218099,2018-07-13T12:49:38Z,12005,Ishtar
71218004,2018-07-13T12:41:22Z,17843,Vexor Navy Issue
71216800,2018-07-13T10:05:41Z,626,Vexor
71216040,2018-07-13T08:32:04Z,17715,Gila
71215686,2018-07-13T07:45:36Z,626,Vexor
71215542,2018-07-13T07:23:48Z,621,Caracal
71215310,2018-07-13T06:44:42Z,17715,Gila
71215177,2018-07-13T06:22:45Z,12019,Sacrilege
71213889,2018-07-13T03:52:10Z,621,Caracal
71213853,2018-07-13T03:46:23Z,17715,Gila
71213741,2018-07-13T03:33:59Z,12015,Muninn
71212031,2018-07-13T00:48:06Z,17715,Gila
71211972,2018-07-13T00:42:38Z,17715,Gila
71210977,2018-07-12T23:11:16Z,17715,Gila
71210012,2018-07-12T21:43:20Z,12019,Sacrilege
71208052,2018-07-12T19:59:37Z,17713,Stabber Fleet Issue
71208001,2018-07-12T19:56:22Z,17715,Gila
71206735,2018-07-12T18:44:32Z,17715,Gila
71206166,2018-07-12T18:18:35Z,17843,Vexor Navy Issue
71204565,2018-07-12T16:44:47Z,627,Thorax
71204529,2018-07-12T16:42:57Z,12019,Sacrilege
71203009,2018-07-12T14:59:21Z,627,Thorax
71202386,2018-07-12T14:07:58Z,628,Arbitrator
71202374,2018-07-12T14:07:00Z,17715,Gila
71202121,2018-07-12T13:44:40Z,17715,Gila
71201813,2018-07-12T13:19:26Z,17715,Gila
71201544,2018-07-12T12:55:11Z,17715,Gila
71201289,2018-07-12T12:31:54Z,626,Vexor
71201277,2018-07-12T12:30:35Z,17715,Gila
71201018,2018-07-12T12:09:01Z,626,Vexor
71200969,2018-07-12T12:02:53Z,17715,Gila
71200201,2018-07-12T09:50:29Z,17715,Gila
71199031,2018-07-12T07:35:00Z,17843,Vexor Navy Issue
71198484,2018-07-12T06:24:07Z,12015,Muninn
71195016,2018-07-12T02:02:17Z,629,Rupture
71194970,2018-07-12T01:57:03Z,12005,Ishtar
71193706,2018-07-11T23:44:13Z,17843,Vexor Navy Issue
71193417,2018-07-11T23:11:25Z,12019,Sacrilege
71193207,2018-07-11T22:53:36Z,17715,Gila
71192940,2018-07-11T22:33:27Z,17715,Gila
71192873,2018-07-11T22:27:44Z,17843,Vexor Navy Issue
71191966,2018-07-11T21:31:14Z,17715,Gila
71190916,2018-07-11T20:28:12Z,11965,Pilgrim
71190778,2018-07-11T20:20:31Z,12005,Ishtar
71190683,2018-07-11T20:13:24Z,12019,Sacrilege
71189861,2018-07-11T19:14:36Z,17843,Vexor Navy Issue
71188700,2018-07-11T18:02:24Z,17715,Gila
